"file","mean.dens.ml","date","species","temperature","replicate","sample_ID","magnification","biomass","day","log_biomass"
"20260126_048",88.98736,"2026-01-26","D","T21",1,"T21_D_1",2.5,2.45679076573151e-05,1,-4.60963182893205
"20260126_050",42.85336,"2026-01-26","C","T21",3,"T21_C_3",2.5,1.91154063813331e-05,1,-4.71861646472345
"20260126_052",291.56688,"2026-01-26","S","T21",1,"T21_S_1",2.5,1.74756468939924e-05,1,-4.75756673905631
"20260126_053",169.36304,"2026-01-26","D","T21",2,"T21_D_2",2.5,4.23782559292554e-05,1,-4.37285692058149
"20260126_054",128.56008,"2026-01-26","D","T21",3,"T21_D_3",2.5,2.7402579992535e-05,1,-4.56220854580106
"20260126_055",670.68584,"2026-01-26","L","T24",1,"T24_L_1",2.5,0.0001335691166351,1,-3.87429394624244
"20260126_056",693.0352,"2026-01-26","T","T24",1,"T24_T_1",2.5,2.85819162467087e-05,1,-4.54390865771883
"20260126_057",45.8859677419355,"2026-01-26","C","T24",1,"T24_C_1",2.5,3.57942601718658e-05,1,-4.44618660954442
"20260126_059",44.3678991596639,"2026-01-26","S","T24",2,"T24_S_2",2.5,0.00047366108585944,1,-3.32453229374095
"20260126_060",29.641652173913,"2026-01-26","P","T24",2,"T24_P_2",2.5,1.86859781989619e-05,1,-4.72848416218194
"20260126_061",409.66992,"2026-01-26","T","T24",2,"T24_T_2",2.5,1.72762179930021e-05,1,-4.76255132461987
"20260126_062",61.1812903225807,"2026-01-26","P","T24",1,"T24_P_1",2.5,3.64429620465683e-05,1,-4.43838633125448
"20260126_063",100.67464,"2026-01-26","C","T24",3,"T24_C_3",2.5,5.06114417007821e-05,1,-4.2957512913461
"20260126_064",105.18552,"2026-01-26","D","T24",2,"T24_D_2",2.5,2.61314005085138e-05,1,-4.58283731370092
"20260126_065",579.44304,"2026-01-26","L","T24",3,"T24_L_3",2.5,0.00010874662518472,1,-3.96358421194938
"20260126_066",154.60016,"2026-01-26","D","T24",3,"T24_D_3",2.5,4.87049285328418e-05,1,-4.31242708957969
"20260126_067",499.2724,"2026-01-26","T","T24",3,"T24_T_3",2.5,2.25719442529854e-05,1,-4.64643103099861
"20260126_068",182.28056,"2026-01-26","D","T24",1,"T24_D_1",2.5,4.56551831285821e-05,1,-4.34050991087094
"20260126_069",630.498,"2026-01-26","L","T24",2,"T24_L_2",2.5,0.00011358254621588,1,-3.94468839982661
"20260126_070",83.86136,"2026-01-26","P","T24",3,"T24_P_3",2.5,7.91679341394761e-05,1,-4.10145068768037
"20260126_072",129.1752,"2026-01-26","C","T24",2,"T24_C_2",2.5,1.93668949072582e-05,1,-4.7129400040998
"20260126_073",83.0412,"2026-01-26","C","T27",1,"T27_C_1",2.5,5.76697229091954e-05,1,-4.2390521352771
"20260126_074",200.9392,"2026-01-26","D","T27",3,"T27_D_3",2.5,6.0811012499751e-05,1,-4.21601776554977
"20260126_076",482.8692,"2026-01-26","L","T27",2,"T27_L_2",2.5,9.72002089313367e-05,1,-4.01233280155902
"20260126_077",25.63,"2026-01-26","S","T27",1,"T27_S_1",2.5,7.61819241004862e-08,1,-7.11814806271116
"20260126_078",239.28168,"2026-01-26","D","T27",2,"T27_D_2",2.5,7.74264011365358e-05,1,-4.11111092674793
"20260126_079",3555.3936,"2026-01-26","T","T27",2,"T27_T_2",2.5,0.00016717264547079,1,-3.77683478486947
"20260126_080",98.4192,"2026-01-26","P","T27",3,"T27_P_3",2.5,0.00010348793744869,1,-3.98511026861065
"20260126_081",109.49136,"2026-01-26","C","T27",3,"T27_C_3",2.5,4.54874677350911e-05,1,-4.34210823945686
"20260126_082",25.63,"2026-01-26","S","T27",3,"T27_S_3",2.5,9.19584290840919e-07,1,-6.0364084563451
"20260126_083",297.51304,"2026-01-26","P","T27",2,"T27_P_2",2.5,0.00032263528275014,1,-3.49128814077282
"20260126_084",50.0198387096774,"2026-01-26","C","T27",2,"T27_C_2",2.5,2.16785452918931e-05,1,-4.66396986387259
"20260126_085",1256.8952,"2026-01-26","T","T27",1,"T27_T_1",2.5,5.77150522022065e-05,1,-4.23871090719363
"20260126_086",421.56224,"2026-01-26","D","T27",1,"T27_D_1",2.5,9.59823653749105e-05,1,-4.01780855158412
"20260126_087",852.14624,"2026-01-26","L","T27",3,"T27_L_3",2.5,0.00016736959142737,1,-3.77632344404237
"20260126_088",510.13952,"2026-01-26","L","T27",1,"T27_L_1",2.5,0.00010352175078907,1,-3.9849683917024
"20260126_089",139.22216,"2026-01-26","P","T27",1,"T27_P_1",2.5,0.00012354371070359,1,-3.90817935852778
"20260126_090",1958.74712,"2026-01-26","T","T27",3,"T27_T_3",2.5,9.04391239004838e-05,1,-4.04364365339245
"20260126_001",5,"2026-01-26","S","T15",3,"T15_S_3",2.5,0,1,-Inf
"20260126_013",10,"2026-01-26","P","T15",3,"T15_P_3",2.5,0,1,-Inf
"20260126_015",5,"2026-01-26","S","T15",2,"T15_S_2",2.5,0,1,-Inf
"20260126_019",5,"2026-01-26","S","T18",2,"T18_S_2",2.5,0,1,-Inf
"20260126_020",5,"2026-01-26","S","T18",1,"T18_S_1",2.5,0,1,-Inf
"20260126_024",5,"2026-01-26","S","T18",3,"T18_S_3",2.5,0,1,-Inf
"20260126_027",10,"2026-01-26","P","T18",1,"T18_P_1",2.5,0,1,-Inf
"20260126_030",50,"2026-01-26","D","T18",3,"T18_D_3",2.5,0,1,-Inf
"20260126_033",10,"2026-01-26","P","T18",3,"T18_P_3",2.5,0,1,-Inf
"20260126_037",5,"2026-01-26","S","T21",2,"T21_S_2",2.5,0,1,-Inf
"20260126_044",5,"2026-01-26","S","T21",3,"T21_S_3",2.5,0,1,-Inf
"20260126_049",10,"2026-01-26","P","T21",3,"T21_P_3",2.5,0,1,-Inf
"20260126_051",10,"2026-01-26","P","T21",1,"T21_P_1",2.5,0,1,-Inf
"20260126_058",5,"2026-01-26","S","T24",3,"T24_S_3",2.5,0,1,-Inf
"20260126_071",5,"2026-01-26","S","T24",1,"T24_S_1",2.5,0,1,-Inf
"20260126_075",5,"2026-01-26","S","T27",2,"T27_S_2",2.5,0,1,-Inf
"20260127_002",416.2312,"2026-01-27","D","T15",3,"T15_D_3",2.5,8.89884138202795e-05,2,-4.05066653427051
"20260127_003",47.0254782608696,"2026-01-27","S","T15",1,"T15_S_1",2.5,0.00051701343863866,2,-3.28649816821986
"20260127_004",47.56928,"2026-01-27","P","T15",2,"T15_P_2",2.5,4.38565052515909e-05,2,-4.35796597845922
"20260127_005",271.678,"2026-01-27","D","T15",1,"T15_D_1",2.5,5.05349831509456e-05,2,-4.29640787476289
"20260127_006",178.79488,"2026-01-27","T","T15",1,"T15_T_1",2.5,1.02079637849959e-05,2,-4.99106087937569
"20260127_007",84.68152,"2026-01-27","C","T15",2,"T15_C_2",2.5,5.09296022265709e-05,2,-4.29302971576335
"20260127_008",122.61392,"2026-01-27","C","T15",1,"T15_C_1",2.5,7.36806246973555e-05,2,-4.13264670065236
"20260127_009",55.3608,"2026-01-27","P","T15",1,"T15_P_1",2.5,4.57398065872023e-05,2,-4.33970567615884
"20260127_010",628.85768,"2026-01-27","L","T15",3,"T15_L_3",2.5,0.00011186544117609,2,-3.95130406025111
"20260127_011",687.70416,"2026-01-27","L","T15",1,"T15_L_1",2.5,0.00010740636639172,2,-3.96896997555593
"20260127_012",35.1618181818182,"2026-01-27","C","T15",3,"T15_C_3",2.5,2.40459336183347e-05,2,-4.61895835614811
"20260127_013",49.2096,"2026-01-27","P","T15",3,"T15_P_3",2.5,4.63074653309971e-05,2,-4.33434898974433
"20260127_014",362.9208,"2026-01-27","T","T15",2,"T15_T_2",2.5,1.93234715034868e-05,2,-4.71391484896745
"20260127_016",822.82552,"2026-01-27","T","T15",3,"T15_T_3",2.5,5.74351431215796e-05,2,-4.24082229238483
"20260127_017",634.39376,"2026-01-27","D","T15",2,"T15_D_2",2.5,0.00013255334437664,2,-3.87760931036018
"20260127_018",587.23456,"2026-01-27","L","T15",2,"T15_L_2",2.5,0.00012253868806615,2,-3.91172677365872
"20260127_019",39.4784677419355,"2026-01-27","S","T18",2,"T18_S_2",2.5,0.00053667850704728,2,-3.27028579703209
"20260127_020",29.9016666666667,"2026-01-27","S","T18",1,"T18_S_1",2.5,1.57479734692031e-07,2,-6.80277532554223
"20260127_021",490.0456,"2026-01-27","D","T18",2,"T18_D_2",2.5,0.00010764459514467,2,-3.96800777130054
"20260127_022",74.22448,"2026-01-27","P","T18",2,"T18_P_2",2.5,9.93602251239817e-05,2,-4.00278743316999
"20260127_023",2566.89576,"2026-01-27","L","T18",2,"T18_L_2",2.5,0.00040460138988352,2,-3.39297262967765
"20260127_025",3032.74664,"2026-01-27","T","T18",3,"T18_T_3",2.5,0.00016361695074279,2,-3.78617170535472
"20260127_026",101.08472,"2026-01-27","C","T18",3,"T18_C_3",2.5,6.50410252200531e-05,2,-4.18681262172053
"20260127_027",71.96904,"2026-01-27","P","T18",1,"T18_P_1",2.5,7.98279776875407e-05,2,-4.09784487273655
"20260127_028",1847.20536,"2026-01-27","L","T18",1,"T18_L_1",2.5,0.00031298012463818,2,-3.50448324083704
"20260127_029",52.90032,"2026-01-27","C","T18",2,"T18_C_2",2.5,2.62022436454737e-05,2,-4.58166151932417
"20260127_030",859.73272,"2026-01-27","D","T18",3,"T18_D_3",2.5,0.00018714150774097,2,-3.72782987586944
"20260127_031",194.788,"2026-01-27","C","T18",1,"T18_C_1",2.5,0.00010546749679593,2,-3.97688136157096
"20260127_032",2035.84216,"2026-01-27","L","T18",3,"T18_L_3",2.5,0.0003444520279641,2,-3.46287125399203
"20260127_033",90.62768,"2026-01-27","P","T18",3,"T18_P_3",2.5,9.1850517697843e-05,2,-4.03691839153364
"20260127_034",889.8736,"2026-01-27","D","T18",1,"T18_D_1",2.5,0.00020005385997332,2,-3.69885306463519
"20260127_035",1136.53672,"2026-01-27","T","T18",2,"T18_T_2",2.5,5.72624638087881e-05,2,-4.24212996970001
"20260127_036",822.00536,"2026-01-27","T","T18",1,"T18_T_1",2.5,3.52236809530238e-05,2,-4.45316526125761
"20260127_038",990.54824,"2026-01-27","T","T21",3,"T21_T_3",2.5,4.2762524816922e-05,2,-4.36893666076715
"20260127_039",342.4168,"2026-01-27","P","T21",2,"T21_P_2",2.5,0.0003242934365174,2,-3.48906184106838
"20260127_040",5084.992,"2026-01-27","L","T21",2,"T21_L_2",2.5,0.00040541922313801,2,-3.39209566288318
"20260127_041",168.74792,"2026-01-27","C","T21",2,"T21_C_2",2.5,0.00013105800664945,2,-3.88253644181043
"20260127_042",674.99168,"2026-01-27","T","T21",2,"T21_T_2",2.5,2.88500823783733e-05,2,-4.5398529424243
"20260127_043",89.80752,"2026-01-27","C","T21",1,"T21_C_1",2.5,6.17521829844306e-05,2,-4.20934768517219
"20260127_044",25.63,"2026-01-27","S","T21",3,"T21_S_3",2.5,4.28153795196272e-07,2,-6.36840020199723
"20260127_045",5810.42352,"2026-01-27","L","T21",3,"T21_L_3",2.5,0.0003261888988,2,-3.48653082340593
"20260127_046",825.90112,"2026-01-27","T","T21",1,"T21_T_1",2.5,3.81384005777358e-05,2,-4.41863752405427
"20260127_047",4886.30824,"2026-01-27","L","T21",1,"T21_L_1",2.5,0.00037806431838014,2,-3.42243430931257
"20260127_048",2128.11016,"2026-01-27","D","T21",1,"T21_D_1",2.5,0.0003984433109562,2,-3.39963345968876
"20260127_049",171.41344,"2026-01-27","P","T21",3,"T21_P_3",2.5,0.00016108002404154,2,-3.79295831424522
"20260127_050",124.0492,"2026-01-27","C","T21",3,"T21_C_3",2.5,9.25393945383576e-05,2,-4.03367334630479
"20260127_051",206.0652,"2026-01-27","P","T21",1,"T21_P_1",2.5,0.00023012886686101,2,-3.63802890096576
"20260127_053",1576.14248,"2026-01-27","D","T21",2,"T21_D_2",2.5,0.00033735471140667,2,-3.47191322022447
"20260127_054",1421.33728,"2026-01-27","D","T21",3,"T21_D_3",2.5,0.00030284627236564,2,-3.51877776755457
"20260127_055",5955.79688,"2026-01-27","L","T24",1,"T24_L_1",2.5,0.00031239706536532,2,-3.50529305450547
"20260127_056",838.40856,"2026-01-27","T","T24",1,"T24_T_1",2.5,3.33398219110257e-05,2,-4.47703672434201
"20260127_057",136.76168,"2026-01-27","C","T24",1,"T24_C_1",2.5,0.00010560854639249,2,-3.97630093501327
"20260127_058",25.63,"2026-01-27","S","T24",3,"T24_S_3",2.5,0.00052299843855273,2,-3.28149960774639
"20260127_060",566.32048,"2026-01-27","P","T24",2,"T24_P_2",2.5,0.00047640035782294,2,-3.3220279209918
"20260127_061",1057.18624,"2026-01-27","T","T24",2,"T24_T_2",2.5,4.49060065866368e-05,2,-4.34769556427597
"20260127_062",454.77872,"2026-01-27","P","T24",1,"T24_P_1",2.5,0.00039106593404535,2,-3.40775001401589
"20260127_063",197.45352,"2026-01-27","C","T24",3,"T24_C_3",2.5,0.00012726912807092,2,-3.8952769312596
"20260127_064",2483.85456,"2026-01-27","D","T24",2,"T24_D_2",2.5,0.00039390734514001,2,-3.40460592088156
"20260127_065",5295.97816,"2026-01-27","L","T24",3,"T24_L_3",2.5,0.00022710504490117,2,-3.64377321827518
"20260127_066",4158.41624,"2026-01-27","D","T24",3,"T24_D_3",2.5,0.00059264877668277,2,-3.22720260771182
"20260127_067",710.4636,"2026-01-27","T","T24",3,"T24_T_3",2.5,3.06189563231018e-05,2,-4.51400961673517
"20260127_068",3766.17472,"2026-01-27","D","T24",1,"T24_D_1",2.5,0.00054720463676843,2,-3.26185023125429
"20260127_069",6379.8196,"2026-01-27","L","T24",2,"T24_L_2",2.5,0.00032369098706815,2,-3.48986939303197
"20260127_070",455.59888,"2026-01-27","P","T24",3,"T24_P_3",2.5,0.00043695504687218,2,-3.35956324014528
"20260127_072",101.90488,"2026-01-27","C","T24",2,"T24_C_2",2.5,8.44638416906697e-05,2,-4.07332916933408
"20260127_073",25.63,"2026-01-27","C","T27",1,"T27_C_1",2.5,1.14793521764647e-06,2,-5.9400826201371
"20260127_074",3635.56424,"2026-01-27","D","T27",3,"T27_D_3",2.5,0.00049412321638184,2,-3.30616474030275
"20260127_076",4641.49048,"2026-01-27","L","T27",2,"T27_L_2",2.5,0.00021788957470838,2,-3.66176354880348
"20260127_078",3625.1072,"2026-01-27","D","T27",2,"T27_D_2",2.5,0.00041783143528976,2,-3.37899888924965
"20260127_079",10235.80184,"2026-01-27","T","T27",2,"T27_T_2",2.5,0.00032672475100848,2,-3.48581796433313
"20260127_080",723.7912,"2026-01-27","P","T27",3,"T27_P_3",2.5,0.0004048001196262,2,-3.39275936782589
"20260127_083",751.67664,"2026-01-27","P","T27",2,"T27_P_2",2.5,0.00039574443743089,2,-3.40258518084981
"20260127_084",25.63,"2026-01-27","C","T27",2,"T27_C_2",2.5,1.62158410735581e-05,2,-4.79006052068006
"20260127_085",5844.87024,"2026-01-27","T","T27",1,"T27_T_1",2.5,0.00024244356410795,2,-3.61538934015024
"20260127_086",3552.72808,"2026-01-27","D","T27",1,"T27_D_1",2.5,0.00035883019385501,2,-3.44511102027426
"20260127_087",5321.19808,"2026-01-27","L","T27",3,"T27_L_3",2.5,0.00025579284121027,2,-3.59211161414346
"20260127_088",4714.8948,"2026-01-27","L","T27",1,"T27_L_1",2.5,0.00021012371065777,2,-3.67752493842307
"20260127_089",676.42696,"2026-01-27","P","T27",1,"T27_P_1",2.5,0.00037469405610373,2,-3.42632319620918
"20260127_090",7471.86264,"2026-01-27","T","T27",3,"T27_T_3",2.5,0.00026166656619766,2,-3.58225176472528
"20260127_001",5,"2026-01-27","S","T15",3,"T15_S_3",2.5,0,2,-Inf
"20260127_015",5,"2026-01-27","S","T15",2,"T15_S_2",2.5,0,2,-Inf
"20260127_024",5,"2026-01-27","S","T18",3,"T18_S_3",2.5,0,2,-Inf
"20260127_037",5,"2026-01-27","S","T21",2,"T21_S_2",2.5,0,2,-Inf
"20260127_052",5,"2026-01-27","S","T21",1,"T21_S_1",2.5,0,2,-Inf
"20260127_059",5,"2026-01-27","S","T24",2,"T24_S_2",2.5,0,2,-Inf
"20260127_071",5,"2026-01-27","S","T24",1,"T24_S_1",2.5,0,2,-Inf
"20260127_075",5,"2026-01-27","S","T27",2,"T27_S_2",2.5,0,2,-Inf
"20260127_077",5,"2026-01-27","S","T27",1,"T27_S_1",2.5,0,2,-Inf
"20260127_081",20,"2026-01-27","C","T27",3,"T27_C_3",2.5,0,2,-Inf
"20260127_082",5,"2026-01-27","S","T27",3,"T27_S_3",2.5,0,2,-Inf
"20260128_002",1932.91208,"2026-01-28","D","T15",3,"T15_D_3",2.5,0.00034355585507727,3,-3.46400264556266
"20260128_003",33.0709677419355,"2026-01-28","S","T15",1,"T15_S_1",2.5,1.35292377588507e-06,3,-5.86872667098924
"20260128_004",68.07328,"2026-01-28","P","T15",2,"T15_P_2",2.5,5.71887556349841e-05,3,-4.24268935312529
"20260128_005",1522.62704,"2026-01-28","D","T15",1,"T15_D_1",2.5,0.00028323419452754,3,-3.54785431596057
"20260128_006",1065.1828,"2026-01-28","T","T15",1,"T15_T_1",2.5,5.46735828709434e-05,3,-4.2622224649763
"20260128_007",215.70208,"2026-01-28","C","T15",2,"T15_C_2",2.5,0.00013327186425326,3,-3.87526152717499
"20260128_008",162.80176,"2026-01-28","C","T15",1,"T15_C_1",2.5,0.00012095233763116,3,-3.91738573366421
"20260128_009",137.78688,"2026-01-28","P","T15",1,"T15_P_1",2.5,0.00020201097535025,3,-3.69462503449118
"20260128_010",3679.85288,"2026-01-28","L","T15",3,"T15_L_3",2.5,0.00036438219727565,3,-3.43844284962939
"20260128_011",3856.39232,"2026-01-28","L","T15",1,"T15_L_1",2.5,0.00036688131319316,3,-3.43547440812351
"20260128_012",66.638,"2026-01-28","C","T15",3,"T15_C_3",2.5,4.89329541181993e-05,3,-4.31039856477336
"20260128_013",95.75368,"2026-01-28","P","T15",3,"T15_P_3",2.5,0.00010414980049383,3,-3.98234155763665
"20260128_014",1250.12888,"2026-01-28","T","T15",2,"T15_T_2",2.5,6.11225213367708e-05,3,-4.21379873918267
"20260128_015",34.7025663716814,"2026-01-28","S","T15",2,"T15_S_2",2.5,0.00028931349817782,3,-3.53863130348514
"20260128_016",2254.00472,"2026-01-28","T","T15",3,"T15_T_3",2.5,0.00015103054850927,3,-3.82093520034145
"20260128_017",2194.13304,"2026-01-28","D","T15",2,"T15_D_2",2.5,0.00037460195780045,3,-3.42642995718046
"20260128_018",4393.18704,"2026-01-28","L","T15",2,"T15_L_2",2.5,0.00042965546358513,3,-3.36687966126057
"20260128_021",4341.51696,"2026-01-28","D","T18",2,"T18_D_2",2.5,0.00047560069085422,3,-3.32275752319978
"20260128_022",320.06744,"2026-01-28","P","T18",2,"T18_P_2",2.5,0.00020900257376521,3,-3.67984836573035
"20260128_023",7555.10888,"2026-01-28","L","T18",2,"T18_L_2",2.5,0.00026508139996167,3,-3.57662074445629
"20260128_025",5299.46384,"2026-01-28","T","T18",3,"T18_T_3",2.5,0.00022268071992795,3,-3.65231738328646
"20260128_026",202.16944,"2026-01-28","C","T18",3,"T18_C_3",2.5,0.00015127428406237,3,-3.82023489378141
"20260128_027",208.73072,"2026-01-28","P","T18",1,"T18_P_1",2.5,0.00024251103950831,3,-3.61526848680021
"20260128_028",6450.14832,"2026-01-28","L","T18",1,"T18_L_1",2.5,0.00023627881416017,3,-3.62657521745277
"20260128_029",315.14648,"2026-01-28","C","T18",2,"T18_C_2",2.5,0.00027061938131494,3,-3.56764110316814
"20260128_030",4778.66224,"2026-01-28","D","T18",3,"T18_D_3",2.5,0.00050470652480857,3,-3.29696108070313
"20260128_031",209.96096,"2026-01-28","C","T18",1,"T18_C_1",2.5,0.00013219365534717,3,-3.8787893883741
"20260128_032",6799.1264,"2026-01-28","L","T18",3,"T18_L_3",2.5,0.00026940237773739,3,-3.56959857552591
"20260128_033",255.68488,"2026-01-28","P","T18",3,"T18_P_3",2.5,0.00027870340560936,3,-3.55485772440361
"20260128_034",5086.0172,"2026-01-28","D","T18",1,"T18_D_1",2.5,0.00048469224134041,3,-3.31453393214441
"20260128_035",3678.62264,"2026-01-28","T","T18",2,"T18_T_2",2.5,0.00020340767669553,3,-3.69163266063847
"20260128_036",1963.258,"2026-01-28","T","T18",1,"T18_T_1",2.5,8.85409141426379e-05,3,-4.05285599845098
"20260128_038",1505.60872,"2026-01-28","T","T21",3,"T21_T_3",2.5,6.83724507278904e-05,3,-4.16511885305997
"20260128_039",603.02264,"2026-01-28","P","T21",2,"T21_P_2",2.5,0.00034801493112275,3,-3.45840212282034
"20260128_040",4621.80664,"2026-01-28","L","T21",2,"T21_L_2",2.5,0.00015773769728581,3,-3.80206450345779
"20260128_041",214.88192,"2026-01-28","C","T21",2,"T21_C_2",2.5,0.00018176542785904,3,-3.7404887169218
"20260128_042",2217.09752,"2026-01-28","T","T21",2,"T21_T_2",2.5,8.90503290946481e-05,3,-4.05036447121786
"20260128_043",365.58632,"2026-01-28","C","T21",1,"T21_C_1",2.5,0.00029459101354472,3,-3.53078050538024
"20260128_044",59.66664,"2026-01-28","S","T21",3,"T21_S_3",2.5,0.00050916450533609,3,-3.29314187931918
"20260128_045",6122.90448,"2026-01-28","L","T21",3,"T21_L_3",2.5,0.00020873285438269,3,-3.68040918795359
"20260128_046",1935.5776,"2026-01-28","T","T21",1,"T21_T_1",2.5,8.42144431736156e-05,3,-4.07461341856351
"20260128_047",7786.59904,"2026-01-28","L","T21",1,"T21_L_1",2.5,0.00029211659079638,3,-3.53444377651943
"20260128_048",7170.86392,"2026-01-28","D","T21",1,"T21_D_1",2.5,0.00055793891932002,3,-3.25341334309511
"20260128_049",994.03392,"2026-01-28","P","T21",3,"T21_P_3",2.5,0.00064810267456947,3,-3.18835618631052
"20260128_050",812.36848,"2026-01-28","C","T21",3,"T21_C_3",2.5,0.00033640038922592,3,-3.47314351038134
"20260128_051",475.6928,"2026-01-28","P","T21",1,"T21_P_1",2.5,0.00027231700501523,3,-3.56492523800749
"20260128_052",29.824,"2026-01-28","S","T21",1,"T21_S_1",2.5,3.47414388242078e-07,3,-6.4591521991165
"20260128_053",8501.77856,"2026-01-28","D","T21",2,"T21_D_2",2.5,0.00075210850446888,3,-3.12371950050837
"20260128_054",5672.4316,"2026-01-28","D","T21",3,"T21_D_3",2.5,0.00054373804625034,3,-3.26461027763194
"20260128_055",5747.47624,"2026-01-28","L","T24",1,"T24_L_1",2.5,0.0002338433564524,3,-3.63107496399387
"20260128_056",1537.8,"2026-01-28","T","T24",1,"T24_T_1",2.5,6.99393977195976e-05,3,-4.15527811192071
"20260128_057",367.84176,"2026-01-28","C","T24",1,"T24_C_1",2.5,0.00028693281627456,3,-3.54221977900414
"20260128_058",25.63,"2026-01-28","S","T24",3,"T24_S_3",2.5,2.97887269443451e-05,3,-4.52594805646471
"20260128_059",27.9409016393443,"2026-01-28","S","T24",2,"T24_S_2",2.5,0.0002700865476343,3,-3.56849704644448
"20260128_060",1104.34544,"2026-01-28","P","T24",2,"T24_P_2",2.5,0.00066139267999631,3,-3.1795406159763
"20260128_061",2986.20256,"2026-01-28","T","T24",2,"T24_T_2",2.5,0.00015118824008818,3,-3.82048198835489
"20260128_062",1309.38544,"2026-01-28","P","T24",1,"T24_P_1",2.5,0.00072814007642071,3,-3.13778506496628
